"W 200 x 31,3; 31,3; 210; 134; 6,4; 10,2; 190; 170; 40,3; 3168; 301,7; 8,86; 338,6; 410; 61,2; 3,19; 94,0; 3,60; 12,59; 6,57; 26,50; 40.822; 0,93; W 8 x 21"
"W 200 x 35,9 (H); 35,9; 201; 165; 6,2; 10,2; 181; 161; 45,7; 3437; 342,0; 8,67; 379,2; 764; 92,6; 4,09; 141,0; 4,50; 14,51; 8,09; 25,90; 69.502; 1,03; W 8 x 24"
"W 200 x 41,7 (H); 41,7; 205; 166; 7,2; 11,8; 181; 157; 53,5; 4114; 401,4; 8,77; 448,6; 901; 108,5; 4,10; 165,7; 4,53; 23,19; 7,03; 21,86; 83.948; 1,04; W 8 x 28"
"W 200 x 46,1 (H); 46,1; 203; 203; 7,2; 11,0; 181; 161; 58,6; 4543; 447,6; 8,81; 495,3; 1535; 151,2; 5,12; 229,5; 5,58; 22,01; 9,23; 22,36; 141.342; 1,19; W 8 x 31"
"W 200 x 52,0 (H); 52,0; 206; 204; 7,9; 12,6; 181; 157; 66,9; 5298; 514,4; 8,90; 572,5; 1784; 174,9; 5,16; 265,8; 5,61; 33,34; 8,10; 19,85; 166.710; 1,19; W 8 x 35"
"HP 200 x 53,0 (H); 53,0; 204; 207; 11,3; 11,3; 181; 161; 68,1; 4977; 488,0; 8,55; 551,3; 1673; 161,7; 4,96; 248,6; 5,57; 31,93; 9,16; 14,28; 155.075; 1,20; HP 8 x 36"
"W 200 x 59,0 (H); 59,0; 210; 205; 9,1; 14,2; 182; 158; 76,0; 6140; 584,8; 8,99; 655,9; 2041; 199,1; 5,18; 303,0; 5,64; 47,69; 7,22; 17,32; 195.418; 1,20; W 8 x 40"
"W 200 x 71,0 (H); 71,0; 216; 206; 10,2; 17,4; 181; 161; 91,0; 7660; 709,2; 9,17; 803,2; 2537; 246,3; 5,28; 374,5; 5,70; 81,66; 5,92; 15,80; 249.976; 1,22; W 8 x 48"
"W 200 x 86,0 (H); 86,0; 222; 209; 13,0; 20,6; 181; 157; 110,9; 9498; 855,7; 9,26; 984,2; 3139; 300,4; 5,32; 458,7; 5,77; 142,19; 5,07; 12,06; 317.844; 1,23; W 8 x 58"
"W 200 x 100,0 (H)*; 100,0; 229; 210; 14,5; 23,7; 182; 158; 127,1; 11355; 991,7; 9,45; 1152,2; 3664; 349,0; 5,37; 533,4; 5,80; 212,61; 4,43; 10,87; 385.454; 1,25; W 8 x 67"
"W 250 x 17,9; 17,9; 251; 101; 4,8; 5,3; 240; 220; 23,1; 2291; 182,6; 9,96; 211,0; 91; 18,1; 1,99; 28,8; 2,48; 2,54; 9,53; 45,92; 13.735; 0,88; W 10 x 12"
"W 250 x 22,3; 22,3; 254; 102; 5,8; 6,9; 240; 220; 28,9; 2939; 231,4; 10,09; 267,7; 123; 24,1; 2,06; 38,4; 2,54; 4,77; 7,39; 37,97; 18.629; 0,89; W 10 x 15"
"W 250 x 25,3; 25,3; 257; 102; 6,1; 8,4; 240; 220; 32,6; 3473; 270,2; 10,31; 311,1; 149; 29,3; 2,14; 46,4; 2,58; 7,06; 6,07; 36,10; 22.955; 0,89; W 10 x 17"
"W 250 x 28,4; 28,4; 260; 102; 6,4; 10,0; 240; 220; 36,6; 4046; 311,2; 10,51; 357,3; 178; 34,8; 2,20; 54,9; 2,62; 10,34; 5,10; 34,38; 27.636; 0,90; W 10 x 19"
"W 250 x 32,7; 32,7; 258; 146; 6,1; 9,1; 240; 220; 42,1; 4937; 382,7; 10,83; 428,5; 473; 64,8; 3,35; 99,7; 3,86; 10,44; 8,02; 36,03; 73.104; 1,07; W 10 x 22"
"W 250 x 38,5; 38,5; 262; 147; 6,6; 11,2; 240; 220; 49,6; 6057; 462,4; 11,05; 517,8; 594; 80,8; 3,46; 124,1; 3,93; 17,63; 6,56; 33,27; 93.242; 1,08; W 10 x 26"
"W 250 x 44,8; 44,8; 266; 148; 7,6; 13,0; 240; 220; 57,6; 7158; 538,2; 11,15; 606,3; 704; 95,1; 3,50; 146,4; 3,96; 27,14; 5,69; 28,95; 112.398; 1,09; W 10 x 30"
"HP 250 x 62,0 (H); 62,0; 246; 256; 10,5; 10,7; 225; 201; 79,6; 8728; 709,6; 10,47; 790,5; 2995; 234,0; 6,13; 357,8; 6,89; 33,46; 11,96; 19,10; 414.130; 1,47; HP 10 x 42"
"W 250 x 73,0 (H); 73,0; 253; 254; 8,6; 14,2; 225; 201; 92,7; 11257; 889,9; 11,02; 983,3; 3880; 305,5; 6,47; 463,1; 7,01; 56,94; 8,94; 23,33; 552.900; 1,48; W 10 x 49"
"W 250 x 80,0 (H); 80,0; 256; 255; 9,4; 15,6; 225; 201; 101,9; 12550; 980,5; 11,10; 1088,7; 4313; 338,3; 6,51; 513,1; 7,04; 75,02; 8,17; 21,36; 622.878; 1,49; W 10 x 54"
"HP 250 x 85,0 (H); 85,0; 254; 260; 14,4; 14,4; 225; 201; 108,5; 12280; 966,9; 10,64; 1093,2; 4225; 325,0; 6,24; 499,6; 7,00; 82,07; 9,03; 13,97; 605.403; 1,50; HP 10 x 57"
"W 250 x 89,0 (H); 89,0; 260; 256; 10,7; 17,3; 225; 201; 113,9; 14237; 1095,1; 11,18; 1224,4; 4841; 378,2; 6,52; 574,3; 7,06; 102,81; 7,40; 18,82; 712.351; 1,50; W 10 x 60"
"W 250 x 101,0 (H); 101,0; 264; 257; 11,9; 19,6; 225; 201; 128,7; 16352; 1238,8; 11,27; 1395,0; 5549; 431,8; 6,57; 656,3; 7,10; 147,70; 6,56; 16,87; 828.031; 1,51; W 10 x 68"
"W 250 x 115,0 (H); 115,0; 269; 259; 13,5; 22,1; 225; 201; 146,1; 18920; 1406,7; 11,38; 1597,4; 6405; 494,6; 6,62; 752,7; 7,16; 212,00; 5,86; 14,87; 975.265; 1,53; W 10 x 77"
"W 250 x 131,0 (H)*; 131,0; 275; 261; 15,4; 25,1; 225; 193; 167,8; 22243; 1617,7; 11,51; 1855,6; 7448; 570,7; 6,66; 870,7; 7,21; 321,06; 5,20; 12,52; 1.161.225; 1,54; W 10 x 88"
"W 250 x 149,0 (H)*; 149,0; 282; 263; 17,3; 28,4; 225; 193; 190,5; 26027; 1845,9; 11,69; 2137,5; 8624; 655,8; 6,73; 1001,7; 7,27; 462,06; 4,63; 11,17; 1.384.436; 1,55; W 10 x 100"
"W 250 x 167,0 (H)*; 167,0; 289; 265; 19,2; 31,8; 225; 193; 214,0; 30110; 2083,7; 11,86; 2435,3; 9880; 745,7; 6,79; 1140,2; 7,33; 644,95; 4,17; 10,07; 1.631.156; 1,57; W 10 x 112"
"W 310 x 21,0; 21,0; 303; 101; 5,1; 5,7; 292; 272; 27,2; 3776; 249,2; 11,77; 291,9; 98; 19,5; 1,90; 31,4; 2,42; 3,27; 8,86; 53,25; 21.628; 0,98; W 12 x 14"
"W 310 x 23,8; 23,8; 305; 101; 5,6; 6,7; 292; 272; 30,7; 4346; 285,0; 11,89; 333,2; 116; 22,9; 1,94; 36,9; 2,45; 4,65; 7,54; 48,50; 25.594; 0,99; W 12 x 16"
"W 310 x 28,3; 28,3; 309; 102; 6,0; 8,9; 291; 271; 36,5; 5500; 356,0; 12,28; 412,0; 158; 31,0; 2,08; 49,4; 2,55; 8,14; 5,73; 45,20; 35.441; 1,00; W 12 x 19"
"W 310 x 32,7; 32,7; 313; 102; 6,6; 10,8; 291; 271; 42,1; 6570; 419,8; 12,49; 485,3; 192; 37,6; 2,13; 59,8; 2,58; 12,91; 4,72; 41,12; 43.612; 1,00; W 12 x 22"
"W 310 x 38,7; 38,7; 310; 165; 5,8; 9,7; 291; 271; 49,7; 8581; 553,6; 13,14; 615,4; 727; 88,1; 3,82; 134,9; 4,38; 13,20; 8,51; 46,66; 163.728; 1,25; W 12 x 26"
"W 310 x 44,5; 44,5; 313; 166; 6,6; 11,2; 291; 271; 57,2; 9997; 638,8; 13,22; 712,8; 855; 103,0; 3,87; 158,0; 4,41; 19,90; 7,41; 41,00; 194.433; 1,26; W 12 x 30"
"W 310 x 52,0; 52,0; 317; 167; 7,6; 13,2; 291; 271; 67,0; 11909; 751,4; 13,33; 842,5; 1026; 122,9; 3,91; 188,8; 4,45; 31,81; 6,33; 35,61; 236.422; 1,27; W 12 x 35"
"W 310 x 60,0*; 60,0; 303; 203; 7,5; 13,1; 277; 245; 76,1; 12908; 852,0; 13,02; 944,3; 1829; 228,7; 4,90; 275,4; 5,48; 40,46; 6,29; 26,11; 383.747; 1,38; W 12 x 40"
"W 310 x 67,0*; 67,0; 306; 204; 8,5; 14,6; 277; 245; 85,3; 14559; 951,5; 13,06; 1060,4; 2069; 202,8; 4,92; 310,5; 5,51; 55,35; 6,99; 28,80; 438.542; 1,38; W 12 x 45"
"W 310 x 74,0*; 74,0; 310; 205; 9,4; 16,3; 277; 245; 95,1; 16501; 1064,6; 13,17; 1192,0; 2344; 180,2; 4,96; 350,5; 5,54; 75,51; 7,75; 32,64; 504.715; 1,39; W 12 x 50"
"HP 310 x 79,0 (H); 79,0; 299; 306; 11,0; 11,0; 277; 245; 100,0; 16316; 1091,3; 12,77; 1210,1; 5258; 343,7; 7,25; 525,4; 8,20; 46,72; 13,91; 22,27; 1.089.258; 1,77; HP 12 x 53"
"HP 310 x 93,0 (H); 93,0; 303; 308; 13,1; 13,1; 277; 245; 119,2; 19682; 1299,1; 12,85; 1450,3; 6387; 414,7; 7,32; 635,5; 8,26; 77,33; 11,76; 18,69; 1.340.320; 1,78; HP 12 x 63"
"W 310 x 97,0 (H); 97,0; 308; 305; 9,9; 15,4; 277; 245; 123,6; 22284; 1447,0; 13,43; 1594,2; 7286; 477,8; 7,68; 725,0; 8,38; 92,12; 9,90; 24,77; 1.558.682; 1,79; W 12 x 65"
"W 310 x 107,0 (H); 107,0; 311; 306; 10,9; 17,0; 277; 245; 136,4; 24839; 1597,3; 13,49; 1768,2; 8123; 530,9; 7,72; 806,1; 8,41; 122,68; 9,00; 22,48; 1.754.271; 1,80; W 12 x 72"
"HP 310x110,0 (H); 110,0; 308; 310; 15,4; 15,5; 277; 245; 141,0; 23703; 1539,1; 12,97; 1730,6; 7707; 497,3; 7,39; 763,7; 8,33; 125,66; 10,00; 15,91; 1.646.104; 1,80; HP 12 x 74"
"W 310 x 117,0 (H); 117,0; 314; 307; 11,9; 18,7; 277; 245; 149,9; 27563; 1755,6; 13,56; 1952,6; 9024; 587,9; 7,76; 893,1; 8,44; 161,61; 8,21; 20,55; 1.965.950; 1,80; W 12 x 79"
"HP 310x125,0 (H); 125,0; 312; 312; 17,4; 17,4; 277; 245; 159,0; 27076; 1735,6; 13,05; 1963,3; 8823; 565,6; 7,45; 870,6; 8,38; 177,98; 8,97; 14,09; 1.911.029; 1,81; HP 12 x 84"
"W 310 x 129,0 (H)*; 129,0; 318; 308; 13,1; 20,6; 277; 245; 165,4; 30819; 1938,3; 13,65; 2167,6; 10039; 651,9; 7,79; 991,2; 8,48; 214,66; 7,48; 18,69; 2.218.146; 1,81; W 12 x 87"
"HP 310 x 132 (H); 132,0; 314; 313; 18,3; 18,3; 277; 245; 167,5; 28731; 1830,0; 13,10; 2075,5; 9371; 598,8; 7,48; 922,4; 8,41; 206,79; 8,55; 13,41; 2.044.445; 1,82; HP 12 x 89"
"W 310 x 143,0 (H)*; 143,0; 323; 309; 14,0; 22,9; 277; 245; 182,5; 34812; 2155,6; 13,81; 2422,2; 11270; 729,4; 7,86; 1109,2; 8,52; 288,76; 6,75; 17,51; 2.535.314; 1,83; W 12 x 96"
"W 310 x 158,0 (H)*; 158,0; 327; 310; 15,5; 25,1; 277; 245; 200,7; 38681; 2365,8; 13,88; 2675,7; 12474; 804,8; 7,88; 1225,2; 8,55; 379,96; 6,18; 15,79; 2.839.709; 1,84; W 12 x 106"
"W 310 x 179,0 (H)*; 179,0; 333; 313; 18,0; 28,1; 277; 245; 227,9; 44580; 2677,5; 13,99; 3056,2; 14378; 918,7; 7,94; 1401,7; 8,62; 541,03; 5,57; 13,60; 3.337.666; 1,85; W 12 x 120"
"W 310 x 202,0 (H)*; 202,0; 341; 315; 20,1; 31,8; 277; 245; 258,3; 52030; 3051,6; 14,19; 3513,7; 16589; 1053,2; 8,01; 1608,7; 8,69; 777,99; 4,95; 12,21; 3.959.374; 1,87; W 12 x 136"
"W 360 x 32,9; 32,9; 349; 127; 5,8; 8,5; 332; 308; 42,1; 8358; 479,0; 14,09; 547,6; 291; 45,9; 2,63; 72,0; 3,20; 9,15; 7,47; 53,10; 84.111; 1,17; W 14 x 22"
"W 360 x 39,0; 39,0; 353; 128; 6,5; 10,7; 332; 308; 50,2; 10331; 585,3; 14,35; 667,7; 375; 58,6; 2,73; 91,9; 3,27; 15,83; 5,98; 47,32; 109.551; 1,18; W 14 x 26"
"W 360 x 44,6; 44,6; 352; 171; 6,9; 9,8; 332; 308; 57,7; 12258; 696,5; 14,58; 784,3; 818; 95,7; 3,77; 148,0; 4,43; 16,70; 8,72; 44,70; 239.091; 1,35; W 14 x 30"
"W 360 x 51,0; 51,0; 355; 171; 7,2; 11,6; 332; 308; 64,8; 14222; 801,2; 14,81; 899,5; 968; 113,3; 3,87; 174,7; 4,49; 24,65; 7,37; 42,75; 284.994; 1,36; W 14 x 34"
"W 360 x 58; 58,0; 358; 172; 7,9; 13,1; 332; 308; 72,5; 16143; 901,8; 14,92; 1014,8; 1113; 129,4; 3,92; 199,8; 4,53; 34,45; 6,56; 38,96; 330.394; 1,37; W 14 x 38"
"W 360 x 64,0; 64,0; 347; 203; 7,7; 13,5; 320; 288; 81,7; 17890; 1031,1; 14,80; 1145,5; 1885; 185,7; 4,80; 284,5; 5,44; 44,57; 7,52; 37,40; 523.362; 1,46; W 14 x 43"
"W 360 x 72,0; 72,0; 350; 204; 8,6; 15,1; 320; 288; 91,3; 20169; 1152,5; 14,86; 1285,9; 2140; 209,8; 4,84; 321,8; 5,47; 61,18; 6,75; 33,47; 599.082; 1,47; W 14 x 48"
"W 360 x 79,0; 79,0; 354; 205; 9,4; 16,8; 320; 288; 101,2; 22713; 1283,2; 14,98; 1437,0; 2416; 235,7; 4,89; 361,9; 5,51; 82,41; 6,10; 30,68; 685.701; 1,48; W 14 x 53"
"W 360 x 91,0 (H); 91,0; 353; 254; 9,5; 16,4; 320; 288; 115,9; 26755; 1515,9; 15,19; 1680,1; 4483; 353,0; 6,22; 538,1; 6,90; 92,61; 7,74; 30,34; 1.268.709; 1,68; W 14 x 61"
"W 360 x 101,0 (H); 101,0; 357; 255; 10,5; 18,3; 320; 286; 129,5; 30279; 1696,3; 15,29; 1888,9; 5063; 397,1; 6,25; 606,1; 6,93; 128,47; 6,97; 27,28; 1.450.410; 1,68; W 14 x 68"
"W 360 x 110,0 (H); 110,0; 360; 256; 11,4; 19,9; 320; 288; 140,6; 33155; 1841,9; 15,36; 2059,3; 5570; 435,2; 6,29; 664,5; 6,96; 161,93; 6,43; 25,28; 1.609.070; 1,69; W 14 x 74"
"W 360 x 122,0 (H); 122,0; 363; 257; 13,0; 21,7; 320; 288; 155,3; 36599; 2016,5; 15,35; 2269,8; 6147; 478,4; 6,29; 732,4; 6,98; 212,70; 5,92; 22,12; 1.787.806; 1,70; W 14 x 82"
"W 410 x 38,8; 38,8; 399; 140; 6,4; 8,8; 381; 357; 50,3; 12777; 640,5; 15,94; 736,8; 404; 57,7; 2,83; 90,9; 3,49; 11,69; 7,95; 55,84; 153.190; 1,32; W 16 x 26"
"W 410 x 46,1; 46,1; 403; 140; 7,0; 11,2; 381; 357; 59,2; 15690; 778,7; 16,27; 891,1; 514; 73,4; 2,95; 115,2; 3,55; 20,06; 6,25; 50,94; 196.571; 1,33; W 16 x 31"
"W 410 x 53,0; 53,0; 403; 177; 7,5; 10,9; 381; 357; 68,4; 18734; 929,7; 16,55; 1052,2; 1009; 114,0; 3,84; 176,9; 4,56; 23,38; 8,12; 47,63; 387.194; 1,48; W 16 x 36"
"W 410 x 60,0; 60,0; 407; 178; 7,7; 12,8; 381; 357; 76,2; 21707; 1066,7; 16,88; 1201,5; 1205; 135,4; 3,98; 209,2; 4,65; 33,78; 6,95; 46,42; 467.404; 1,49; W 16 x 40"
"W 410 x 67,0; 67,0; 410; 179; 8,8; 14,4; 381; 357; 86,3; 24678; 1203,8; 16,91; 1362,7; 1379; 154,1; 4,00; 239,0; 4,67; 48,11; 6,22; 40,59; 538.546; 1,50; W 16 x 45"
"W 410 x 75,0; 75,0; 413; 180; 9,7; 16,0; 381; 357; 95,8; 27616; 1337,3; 16,98; 1518,6; 1559; 173,2; 4,03; 269,1; 4,70; 65,21; 5,63; 36,80; 612.784; 1,51; W 16 x 50"
"W 410 x 85,0; 85,0; 417; 181; 10,9; 18,2; 381; 357; 108,6; 31658; 1518,4; 17,07; 1731,7; 1804; 199,3; 4,08; 310,4; 4,74; 94,48; 4,97; 32,72; 715.165; 1,52; W 16 x 57"
"W 460 x 52,0; 52,0; 450; 152; 7,6; 10,8; 428; 404; 66,6; 21370; 949,8; 17,91; 1095,9; 634; 83,5; 3,09; 131,7; 3,79; 21,79; 7,04; 53,21; 304.837; 1,47; W 18 x 35"
"W 460 x 60,0; 60,0; 455; 153; 8,0; 13,3; 428; 404; 76,2; 25652; 1127,6; 18,35; 1292,1; 796; 104,1; 3,23; 163,4; 3,89; 34,60; 5,75; 50,55; 387.230; 1,49; W 18 x 40"
"W 460 x 68,0; 68,0; 459; 154; 9,1; 15,4; 428; 404; 87,6; 29851; 1300,7; 18,46; 1495,4; 941; 122,2; 3,28; 192,4; 3,93; 52,29; 5,00; 44,42; 461.163; 1,50; W 18 x 46"
"W 460 x 74,0; 74,0; 457; 190; 9,0; 14,5; 428; 404; 94,9; 33415; 1462,4; 18,77; 1657,4; 1661; 174,8; 4,18; 271,3; 4,93; 52,97; 6,55; 44,89; 811.417; 1,64; W 18 x 50"
"W 460 x 82,0; 82,0; 460; 191; 9,9; 16,0; 428; 404; 104,7; 37157; 1615,5; 18,84; 1836,4; 1862; 195,0; 4,22; 303,3; 4,96; 70,62; 5,97; 40,81; 915.745; 1,64; W 18 x 55"
"W 460 x 89,0; 89,0; 463; 192; 10,5; 17,7; 428; 404; 114,1; 41105; 1775,6; 18,98; 2019,4; 2093; 218,0; 4,28; 339,0; 5,01; 92,49; 5,42; 38,44; 1.035.073; 1,65; W 18 x 60"
"W 460 x 97,0; 97,0; 466; 193; 11,4; 19,0; 428; 404; 123,4; 44658; 1916,7; 19,03; 2187,4; 2283; 236,6; 4,30; 368,8; 5,03; 115,05; 5,08; 35,44; 1.137.180; 1,66; W 18 x 65"
"W 460 x 106,0; 106,0; 469; 194; 12,6; 20,6; 428; 404; 135,1; 48978; 2088,6; 19,04; 2394,6; 2515; 259,3; 4,32; 405,7; 5,05; 148,19; 4,71; 32,05; 1.260.063; 1,67; W 18 x 71"
"W 530 x 66,0; 66,0; 525; 165; 8,9; 11,4; 502; 478; 83,6; 34971; 1332,2; 20,46; 1558,0; 857; 103,9; 3,20; 166,0; 4,02; 31,52; 7,24; 53,73; 562.854; 1,67; W 21 x 44"
"W 530 x 72,0; 72,0; 524; 207; 9,0; 10,9; 502; 478; 91,6; 39969; 1525,5; 20,89; 1755,9; 1615; 156,0; 4,20; 244,6; 5,16; 33,41; 9,50; 53,13; 1.060.548; 1,84; W 21 x 48"
"W 530 x 74,0; 74,0; 529; 166; 9,7; 13,6; 502; 478; 95,1; 40969; 1548,9; 20,76; 1804,9; 1041; 125,5; 3,31; 200,1; 4,10; 47,39; 6,10; 49,26; 688.558; 1,68; W 21 x 50"
"W 530 x 82,0; 82,0; 528; 209; 9,5; 13,3; 501; 477; 104,5; 47569; 1801,8; 21,34; 2058,5; 2028; 194,1; 4,41; 302,7; 5,31; 51,23; 7,86; 50,25; 1.340.255; 1,85; W 21 x 55"
"W 530 x 85,0; 85,0; 535; 166; 10,3; 16,5; 502; 478; 107,7; 48453; 1811,3; 21,21; 2099,8; 1263; 152,2; 3,42; 241,6; 4,17; 72,93; 5,03; 46,41; 845.463; 1,69; W 21 x 57"
"W 530 x 92,0; 92,0; 533; 209; 10,2; 15,6; 502; 478; 117,6; 55157; 2069,7; 21,65; 2359,8; 2379; 227,6; 4,50; 354,7; 5,36; 75,50; 6,70; 46,84; 1.588.565; 1,86; W 21 x 62"
"W 530 x 101,0; 101,0; 537; 210; 10,9; 17,4; 502; 470; 130,0; 62198; 2316,5; 21,87; 2640,4; 2693; 256,5; 4,55; 400,6; 5,40; 106,04; 6,03; 43,14; 1.812.734; 1,86; W 21 x 68"
"W 530 x 109,0; 109,0; 539; 211; 11,6; 18,8; 501; 469; 139,7; 67226; 2494,5; 21,94; 2847,0; 2952; 279,8; 4,60; 437,4; 5,44; 131,38; 5,61; 40,47; 1.991.291; 1,87; W 21 x 73"
"W 530 x 123,0*; 123,0; 544; 212; 13,1; 21,2; 502; 470; 157,8; 76577; 2815,3; 22,03; 3228,1; 3378; 318,7; 4,63; 500,2; 5,47; 186,69; 5,00; 35,85; 2.300.400; 1,88; W 21 x 83"
"W 530 x 138,0*; 138,0; 549; 214; 14,7; 23,8; 501; 469; 177,8; 87079; 3172,3; 22,13; 3653,3; 3904; 364,8; 4,69; 574,5; 5,53; 262,76; 4,50; 31,93; 2.680.751; 1,90; W 21 x 93"
"W 610 x 82,0; 82,0; 599; 178; 10,0; 12,8; 573; 541; 105,1; 56628; 1890,8; 23,21; 2219,9; 1210; 135,9; 3,39; 219,0; 4,29; 51,82; 6,95; 54,14; 1.033.595; 1,86; W 24 x 55"
"W 610 x 92,0; 92,0; 603; 179; 10,9; 15,0; 573; 541; 118,4; 65277; 2165,1; 23,48; 2535,8; 1442; 161,1; 3,49; 259,3; 4,37; 74,73; 5,97; 49,63; 1.239.349; 1,87; W 24 x 62"
"W 610 x 101,0; 101,0; 603; 228; 10,5; 14,9; 573; 541; 130,3; 77003; 2554,0; 24,31; 2922,7; 2951; 258,8; 4,76; 405,0; 5,76; 81,68; 7,65; 51,54; 2.544.966; 2,07; W 24 x 68"
"W 610 x 113,0; 113,0; 608; 228; 11,2; 17,3; 573; 541; 145,3; 88196; 2901,2; 24,64; 3312,9; 3426; 300,5; 4,86; 469,7; 5,82; 116,50; 6,59; 48,34; 2.981.078; 2,08; W 24 x 76"
"W 610 x 125,0; 125,0; 612; 229; 11,9; 19,6; 573; 541; 160,1; 99184; 3241,3; 24,89; 3697,3; 3933; 343,5; 4,96; 536,3; 5,89; 159,50; 5,84; 45,45; 3.441.766; 2,09; W 24 x 84"
"W 610 x 140,0; 140,0; 617; 230; 13,1; 22,2; 573; 541; 179,3; 112619; 3650,5; 25,06; 4173,1; 4515; 392,6; 5,02; 614,0; 5,94; 225,01; 5,18; 41,27; 3.981.687; 2,10; W 24 x 94"
"W 610 x 153,0*; 153,0; 623; 229; 14,0; 24,9; 573; 541; 196,5; 125783; 4038,0; 25,30; 4622,7; 4999; 436,6; 5,04; 683,3; 5,94; 303,29; 4,60; 38,66; 4.456.995; 2,11; W 24 x 103"
"W 610 x 155,0; 155,0; 611; 324; 12,7; 19,0; 573; 541; 198,1; 129583; 4241,7; 25,58; 4749,1; 10783; 665,6; 7,38; 1022,6; 8,53; 200,77; 8,53; 42,60; 9.436.714; 2,47; W 24 x 104"
"W 610 x 174,0; 174,0; 616; 325; 14,0; 21,6; 573; 541; 222,8; 147754; 4797,2; 25,75; 5383,3; 12374; 761,5; 7,45; 1171,1; 8,58; 286,88; 7,52; 38,63; 10.915.665; 2,48; W 24 x 117"
"W 610 x 195,0; 195,0; 622; 327; 15,4; 24,4; 573; 541; 250,1; 168484; 5417,5; 25,96; 6095,4; 14240; 870,9; 7,55; 1341,0; 8,66; 405,29; 6,70; 35,14; 12.695.302; 2,49; W 24 x 131"
"W 610 x 217,0; 217,0; 628; 328; 16,5; 27,7; 573; 541; 278,4; 191395; 6095,4; 26,22; 6868,8; 16316; 994,9; 7,66; 1531,6; 8,73; 570,21; 5,92; 32,76; 14.676.643; 2,51; W 24 x 146"
